Codigo municipio,Municipio,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,provincia,promedio,total_Suma_ano,pueblociudad,p33,p66,consumoProvincia,dif1502
48009,Arrankudiaga,5076.77,5068.77,5646.7,6213.87,6380.0,6645.11,7334.69,8392.49,10294.97,12396.05,12329.15,12645.13,13063.85,13630.98,Bizkaia,8937.037857142857,125118.53,Pueblo,3108.363542857143,6738.3684357142865,Alto,-8554.21
48059,Mañaria,8755.28,8072.47,7566.33,9954.17,10794.82,12990.84,13154.01,13505.89,15503.34,16321.52,15557.24,16173.36,17200.83,16797.23,Bizkaia,13024.80928571429,182347.33000000005,Pueblo,3108.363542857143,6738.3684357142865,Alto,-8041.949999999999
1037,Arraia-Maeztu,9771.7,10123.86,9568.78,11338.96,11324.11,13409.53,13792.57,16470.3,15448.71,18367.02,15177.55,16707.06,16570.68,16888.57,Álava,13925.67142857143,194959.40000000002,Pueblo,4090.7342857142858,10106.95,Alto,-7116.869999999999
20022,Berastegi,29352.11,29440.05,31125.51,32423.09,35350.66,37703.95,28175.14,35316.13,35847.63,37153.48,36772.53,38101.79,35907.47,36136.03,Gipuzkoa,34200.39785714286,478805.57000000007,Pueblo,4173.691992857142,9100.15910714286,Alto,-6783.919999999998
1001,Alegría-Dulantzi,6844.81,7461.74,7714.15,8335.28,8188.89,8497.26,8765.79,10862.13,10018.43,9552.51,9891.08,9432.47,9631.26,13465.61,Álava,9190.100714285714,128661.41,Pueblo,4090.7342857142858,10106.95,Medio,-6620.8
48094,Igorre,7340.65,7482.25,7932.78,9260.39,9295.73,9591.26,9511.79,11159.74,12945.34,13807.72,13694.3,13691.94,14224.59,13603.52,Bizkaia,10967.285714285714,153542.0,Pueblo,3108.363542857143,6738.3684357142865,Alto,-6262.870000000001
20017,Azkoitia,6923.16,7050.63,7157.02,6874.31,6928.69,6247.81,5975.94,6681.62,9891.76,13197.04,13336.83,14477.44,12813.71,12938.14,Gipuzkoa,9321.007142857145,130494.10000000002,Pueblo,4173.691992857142,9100.15910714286,Alto,-6014.98
20002,Aduna,31356.73,30456.01,31958.31,31283.9,30289.75,30512.82,29608.55,37226.58,37006.68,37842.85,36934.28,41027.15,36532.05,37132.9,Gipuzkoa,34226.32571428571,479168.56,Pueblo,4173.691992857142,9100.15910714286,Alto,-5776.170000000002
20038,Gabiria,3902.67,3700.68,3504.35,3642.95,3923.74,6638.31,7077.99,9831.93,10104.49,10374.18,9663.24,10083.13,10012.17,9549.24,Gipuzkoa,7286.362142857143,102009.07,Pueblo,4173.691992857142,9100.15910714286,Medio,-5646.57
20052,Legorreta,28656.92,28543.7,28417.91,26855.45,28356.8,31543.0,38383.0,27138.71,26631.05,35682.43,36671.71,26525.21,24096.42,34300.85,Gipuzkoa,30128.79714285714,421803.16,Pueblo,4173.691992857142,9100.15910714286,Alto,-5643.93
1047,Ribera Baja/Erribera Beitia,12622.16,11624.56,11149.53,13056.79,13988.89,16187.34,18123.63,21826.09,20361.12,19135.81,18315.09,18051.53,20663.05,17974.13,Álava,16648.551428571427,233079.72,Pueblo,4090.7342857142858,10106.95,Alto,-5351.970000000001
1008,Arratzua-Ubarrundia,11179.54,10977.37,11640.07,12517.32,13259.95,13452.49,13567.32,13109.32,12546.84,13711.32,13397.31,13921.89,15678.15,16391.12,Álava,13239.286428571428,185350.00999999998,Pueblo,4090.7342857142858,10106.95,Alto,-5211.579999999998
48084,Sestao,23249.01,24326.69,25279.31,14884.81,31357.58,38109.07,25467.27,41151.29,40898.46,37455.2,26542.78,35226.41,23933.3,28027.47,Bizkaia,29707.760714285716,415908.65,Pueblo,3108.363542857143,6738.3684357142865,Alto,-4778.460000000003
48904,Sondika,5779.67,5600.5,6388.26,6946.17,6915.63,7027.05,7161.73,7995.36,8473.76,8386.29,8459.95,9087.83,10645.13,10208.71,Bizkaia,7791.145714285715,109076.04000000001,Pueblo,3108.363542857143,6738.3684357142865,Alto,-4429.039999999999
20078,Zaldibia,4189.31,4064.31,4068.68,4036.37,4079.21,3599.1,3852.9,4606.74,4564.13,4375.17,4169.5,4056.0,4368.44,8489.84,Gipuzkoa,4465.692857142857,62519.7,Pueblo,4173.691992857142,9100.15910714286,Medio,-4300.53
20033,Elgeta,10341.84,11000.7,11116.96,10364.48,11116.97,11642.59,10359.21,13539.52,15517.89,15502.66,15669.39,15631.62,15129.09,14368.73,Gipuzkoa,12950.117857142859,181301.65000000002,Pueblo,4173.691992857142,9100.15910714286,Alto,-4026.8899999999994
20004,Albiztur,4403.23,3880.91,8297.03,10027.32,10499.8,10423.24,10556.58,10906.02,10611.05,10657.7,10318.57,8505.8,8789.97,8262.13,Gipuzkoa,9009.95357142857,126139.34999999999,Pueblo,4173.691992857142,9100.15910714286,Medio,-3858.8999999999996
48011,Arrigorriaga,6567.21,6681.25,6267.61,7032.52,6305.24,7219.35,8760.37,9965.6,10808.26,10343.93,10138.98,10618.69,9671.93,10324.0,Bizkaia,8621.781428571428,120704.94,Pueblo,3108.363542857143,6738.3684357142865,Alto,-3756.79
20075,Villabona,3239.46,3111.09,3310.14,3311.5,3482.04,3475.87,3392.93,3383.76,3476.76,3314.92,4338.6,7038.19,6826.24,6888.38,Gipuzkoa,4184.9914285714285,58589.88,Pueblo,4173.691992857142,9100.15910714286,Medio,-3648.92
48912,Alonsotegi,7325.72,7258.62,7465.17,6843.29,7686.73,9057.94,9871.74,11557.27,10189.12,10429.98,10179.93,10831.03,11215.78,10877.86,Bizkaia,9342.155714285713,130790.17999999998,Pueblo,3108.363542857143,6738.3684357142865,Alto,-3552.1400000000003
48092,Bedia,8603.51,7937.45,8360.39,9792.06,10207.42,10650.44,10084.7,13069.41,12247.27,11308.93,12243.9,12175.39,11580.27,11865.34,Bizkaia,10723.320000000002,150126.48,Pueblo,3108.363542857143,6738.3684357142865,Alto,-3261.83
1062,Zambrana,4192.68,4619.36,5610.75,4548.76,4665.81,5192.65,5710.84,8007.79,8562.14,9909.08,7684.88,7552.27,7899.74,7374.46,Álava,6537.943571428573,91531.21000000002,Pueblo,4090.7342857142858,10106.95,Medio,-3181.7799999999997
